,100_episode_avg,episode_score
episode_242,0.009000000134110451,
episode 242,,0.0
episode_243,0.010000000149011612,
episode 243,,0.10000000149011612
episode_244,0.009000000134110451,
episode 244,,0.0
episode_245,0.00800000011920929,
episode 245,,0.0
episode_246,0.00800000011920929,
episode 246,,0.0
episode_247,0.00800000011920929,
episode 247,,0.0
episode_248,0.00800000011920929,
episode 248,,0.0
episode_249,0.00800000011920929,
episode 249,,0.0
episode_250,0.00800000011920929,
episode 250,,0.0
episode_251,0.00800000011920929,
episode 251,,0.0
episode_252,0.00800000011920929,
episode 252,,0.0
episode_253,0.00800000011920929,
episode 253,,0.0
episode_254,0.00800000011920929,
episode 254,,0.0
episode_255,0.00800000011920929,
episode 255,,0.0
episode_256,0.00800000011920929,
episode 256,,0.0
episode_257,0.00800000011920929,
episode 257,,0.0
episode_258,0.00800000011920929,
episode 258,,0.0
episode_259,0.00800000011920929,
episode 259,,0.0
episode_260,0.00800000011920929,
episode 260,,0.0
episode_261,0.00800000011920929,
episode 261,,0.0
episode_262,0.00800000011920929,
episode 262,,0.0
episode_263,0.00800000011920929,
episode 263,,0.0
episode_264,0.00800000011920929,
episode 264,,0.0
episode_265,0.00800000011920929,
episode 265,,0.0
episode_266,0.00800000011920929,
episode 266,,0.0
episode_267,0.007000000104308128,
episode 267,,0.0
episode_268,0.007000000104308128,
episode 268,,0.0
episode_269,0.007000000104308128,
episode 269,,0.0
episode_270,0.007000000104308128,
episode 270,,0.0
episode_271,0.007000000104308128,
episode 271,,0.0
episode_272,0.00800000011920929,
episode 272,,0.10000000149011612
episode_273,0.00800000011920929,
episode 273,,0.0
episode_274,0.009000000134110451,
episode 274,,0.10000000149011612
episode_275,0.009000000134110451,
episode 275,,0.0
episode_276,0.00800000011920929,
episode 276,,0.0
episode_277,0.00800000011920929,
episode 277,,0.0
episode_278,0.007000000104308128,
episode 278,,0.0
episode_279,0.007000000104308128,
episode 279,,0.0
episode_280,0.007000000104308128,
episode 280,,0.0
episode_281,0.00800000011920929,
episode 281,,0.10000000149011612
episode_282,0.00800000011920929,
episode 282,,0.0
episode_283,0.00800000011920929,
episode 283,,0.0
episode_284,0.00800000011920929,
episode 284,,0.0
episode_285,0.00800000011920929,
episode 285,,0.0
episode_286,0.00800000011920929,
episode 286,,0.0
episode_287,0.00800000011920929,
episode 287,,0.0
episode_288,0.00800000011920929,
episode 288,,0.0
episode_289,0.00800000011920929,
episode 289,,0.0
episode_290,0.00800000011920929,
episode 290,,0.0
episode_291,0.00800000011920929,
episode 291,,0.0
episode_292,0.009000000134110451,
episode 292,,0.10000000149011612
episode_293,0.009000000134110451,
episode 293,,0.0
episode_294,0.009000000134110451,
episode 294,,0.0
episode_295,0.009000000134110451,
episode 295,,0.0
episode_296,0.010000000149011612,
episode 296,,0.10000000149011612
episode_297,0.010000000149011612,
episode 297,,0.0
episode_298,0.010000000149011612,
episode 298,,0.0
episode_299,0.010000000149011612,
episode 299,,0.0
episode_300,0.010000000149011612,
episode 300,,0.0
episode_301,0.010000000149011612,
episode 301,,0.0
episode_302,0.010000000149011612,
episode 302,,0.0
episode_303,0.010000000149011612,
episode 303,,0.0
episode_304,0.011000000163912773,
episode 304,,0.10000000149011612
episode_305,0.011000000163912773,
episode 305,,0.0
episode_306,0.011000000163912773,
episode 306,,0.0
episode_307,0.011000000163912773,
episode 307,,0.0
episode_308,0.011000000163912773,
episode 308,,0.0
episode_309,0.011000000163912773,
episode 309,,0.0
episode_310,0.012000000178813934,
episode 310,,0.10000000149011612
episode_311,0.012000000178813934,
episode 311,,0.0
episode_312,0.012000000178813934,
episode 312,,0.0
episode_313,0.012000000178813934,
episode 313,,0.0
episode_314,0.012000000178813934,
episode 314,,0.0
episode_315,0.012000000178813934,
episode 315,,0.0
episode_316,0.012000000178813934,
episode 316,,0.0
episode_317,0.012000000178813934,
episode 317,,0.0
episode_318,0.011000000163912773,
episode 318,,0.0
episode_319,0.011000000163912773,
episode 319,,0.10000000149011612
episode_320,0.011000000163912773,
episode 320,,0.0
episode_321,0.011000000163912773,
episode 321,,0.0
episode_322,0.011000000163912773,
episode 322,,0.0
episode_323,0.010000000149011612,
episode 323,,0.0
episode_324,0.010000000149011612,
episode 324,,0.0
episode_325,0.011000000163912773,
episode 325,,0.10000000149011612
episode_326,0.011000000163912773,
episode 326,,0.0
episode_327,0.011000000163912773,
episode 327,,0.0
episode_328,0.011000000163912773,
episode 328,,0.0
episode_329,0.011000000163912773,
episode 329,,0.0
episode_330,0.010000000149011612,
episode 330,,0.0
episode_331,0.010000000149011612,
episode 331,,0.0
episode_332,0.010000000149011612,
episode 332,,0.0
episode_333,0.011000000163912773,
episode 333,,0.10000000149011612
episode_334,0.011000000163912773,
episode 334,,0.0
episode_335,0.011000000163912773,
episode 335,,0.0
episode_336,0.011000000163912773,
episode 336,,0.0
episode_337,0.011000000163912773,
episode 337,,0.0
episode_338,0.011000000163912773,
episode 338,,0.0
episode_339,0.011000000163912773,
episode 339,,0.0
episode_340,0.011000000163912773,
episode 340,,0.0
episode_341,0.011000000163912773,
episode 341,,0.0
